user_id,cluster,gender
1131,1,0
15190,1,0
16180,0,1
27602,1,0
40334,1,0
75452,1,0
78186,1,0
88324,1,0
100812,1,0
107068,1,0
116145,1,0
139734,1,0
143474,1,0
151080,1,0
166227,1,0
168757,1,0
171390,1,0
178447,0,1
190062,1,0
206294,1,0
208071,1,0
210102,1,0
223892,1,0
240036,1,0
242362,1,0
254636,1,0
260090,1,0
280886,1,0
303933,1,0
313591,0,1
314775,1,0
315916,1,0
321671,1,0
327094,0,1
330247,1,0
343446,1,0
360317,1,0
364480,1,0
369334,1,0
371368,0,1
387341,1,0
425576,1,0
427942,1,0
432843,1,0
433131,1,0
435852,1,0
441174,1,0
445755,0,1
455105,1,0
456432,1,0
476241,1,0
476843,1,0
479429,1,0
484805,0,1
494580,1,0
496743,1,0
504290,1,0
504593,1,0
505200,1,0
505663,1,0
505722,1,0
506383,1,0
506768,0,1
506936,0,1
507199,1,0
507506,1,0
508085,1,0
509019,1,0
510977,0,1
511667,1,0
512715,1,0
514045,1,0
520031,1,0
521203,1,0
524661,1,0
540540,1,0
545148,1,0
553072,1,0
557848,1,0
560240,0,1
561385,1,0
569932,1,0
587056,1,0
612361,1,0
615693,1,0
618359,1,0
638083,1,0
644327,1,0
679373,1,0
686248,1,0
687529,0,1
689471,1,0
691846,1,0
700202,1,0
703133,1,0
704624,1,0
704897,1,0
710406,0,1
721933,1,0
723663,1,0
724078,0,1
725145,1,0
726173,1,0
726460,1,0
726542,1,0
726593,1,0
727230,1,0
733489,1,0
733874,1,0
739335,1,0
740996,1,0
742682,1,0
746517,1,0
752184,0,1
754944,1,0
756508,1,0
799739,1,0
829593,1,0
1007461,1,0
1046599,1,0
1050868,1,0
1064755,0,1
1065721,1,0
1072088,1,0
1072287,1,0
1075580,1,0
1078185,1,0
1078791,0,1
1078835,1,0
1080119,0,1
1080284,0,1
1080569,1,0
1081402,1,0
1083004,1,0
1083760,1,0
1084184,1,0
1084546,0,1
1086194,1,0
1086225,0,1
1086666,1,0
1087448,1,0
1087678,1,0
1087864,0,1
1088199,1,0
1089310,0,1
1090569,1,0
1090772,1,0
1091660,1,0
1092251,1,0
1092564,1,0
1092951,1,0
1094570,1,0
1094597,1,0
1095412,1,0
1096353,0,1
1096571,1,0
1097001,1,0
1098299,0,1
1100107,1,0
1103465,1,0
1103518,1,0
1110144,1,0
1111704,0,1
1112952,1,0
1123533,1,0
1132552,1,0
1132960,1,0
1136158,1,0
1170785,1,0
1234070,1,0
1364531,1,0
1405669,1,0
1432680,1,0
1438409,0,1
1458966,1,0
1471509,1,0
1484981,1,0
1493541,1,0
1523081,0,1
1527519,0,1
1571494,1,0
1576270,1,0
1578762,1,0
1585745,1,0
1652549,1,0
1732182,1,0
1973599,1,0
1989151,1,0
2002008,1,0
2115026,1,0
2146338,1,0
2152554,1,0
2347477,1,0
2353585,1,0
2368603,1,0
2457725,1,0
2460441,1,0
2462200,1,0
2472783,0,1
2498397,1,0
2514529,1,0
2517568,1,0
2602018,1,0
2602446,0,1
2602779,0,1
2603618,1,0
2604505,1,0
2604507,1,0
2618298,1,0
2618516,1,0
2618893,1,0
2619072,1,0
2622001,0,1
2629446,1,0
2642254,1,0
2648593,1,0
2668974,1,0
2669340,0,1
2669554,1,0
